name,rate,votes
Cake Yard,3.4,30
Rosewood International Hotel - Bar & Restaurant,3.6,8
Sri Udupi Veg,3.3,4
Cake Art,3.5,15
Potato House,3.4,9
Matru Sagar,3.7,31
Ugadi,2.9,177
Sri Krishna Sweets,3.7,22
In Time Cane Juice,3.5,10
Subway,3.7,136
Daal Roti,2.9,35
The Lassi Park,4.1,185
Cafe Coffee Day,3.2,17
A2B - Adyar Ananda Bhavan,3.8,155
Srikrishna Bhavan,3.8,42
Timepass Dinner,3.8,286
Green Gardenia,3.8,160
J Spice,3.8,59
Karavali Family Restaurant,3.5,90
Karavali Lunch Home,3.7,51
Hatti Kaapi,4.0,89
Kolkata Kathi Roll's,3.6,18
Upahara Darshini,3.9,40
The Chaat Shop,2.5,35
Anda Ka Funda,3.4,89
Shri Vinayaka Ice N Juice,3.2,11
My Tea House,3.6,62
Ibaco,3.9,33
Jalaram Sweets,3.8,32
Samskruti - Sanman Gardenia,4.1,139
Bendakaluru Bytes,3.2,154
Cocoa Bakes,3.6,14
Chumma Delicious,3.7,237
New Prashanth Hotel,3.9,388
Dwaraka Grand,3.9,128
Gufha - The President Hotel,4.1,1875
Cafe Vivacity,3.8,90
Tanna's Kitchen,3.1,7
Shree Mandarathi Grand,3.7,38
Mojo Pizza - 2X Toppings,4.2,179
Iceberg Icecreams,4.0,43
South Kitchen,4.3,275
Chung Wah,3.7,323
Shanthi Sagar,3.1,28
Millet Mama,3.9,18
Bangarpet Chat Express,3.3,6
Prems Graama Bhojanam,4.3,322
Java City,2.6,157
Kamat Bugle Rock,3.9,543
Woodee Pizza,3.7,180
Puliyogare Point,4.2,444
Bangalore Agarwal Bhavan,3.9,134
Rustic Stove,3.8,577
Udupi Ruchi Grand,4.2,60
De Thaali,3.9,144
Spice Elephant,4.1,787
Just Thindi,3.6,16
Matru Sagar,3.6,84
Vasanth Vihar - Since 1965,3.6,95
Sea Spice by 7 Star,4.0,349
Desi Dawat,3.7,248
Cafe Aira,4.1,216
Penthouse Cafe,4.0,324
Mast Punjabi,2.6,231
South Grand,3.4,102
Catch-up-ino,3.9,133
The Pizzeria,2.8,45
Cafe Zone,3.9,149
Ruchis Point,3.8,75
Firangi Bake,4.0,53
The Royal Corner - Pai Viceroy,4.2,815
Hara Fine Dine,4.0,633
Chocoberry,3.5,56
Dakshin Grand,3.0,82
Sandwichwallas,3.7,35
Chai Mane,3.6,20
SLV Upachar,3.1,14
Waffle-A-Go Go,3.9,70
Cross Road Cafe,3.9,91
Anand Donne Biriyani,3.6,45
Seven Star,3.4,7
Stop 'N' Joy,3.8,28
Sri Yaksha Shiv Sagar,3.6,24
Fudge,3.8,36
Just Bunny,3.5,11
Bakers Town,3.8,77
Shree Mahalakshmi Sweets,3.2,8
Kaapi Kendra,3.7,14
Ivy,3.8,210
The Airos,4.1,130
Chai Kraft,4.1,30
Kirthi's Biryani,3.8,144
South Point Pub,3.4,11
The Trundle,3.7,133
The Krishna Grand Xpress,4.0,136
Sri Krishna Darshini,3.1,4
Shringar Sweets & Snacks,3.5,11
Udupi Grand,3.8,74
Ganesh Grand,3.7,30
Shreyas Upahar & Burger Point,3.0,7
Coffee Tindi,3.8,75
Little Cafe,3.7,54
Mumbai Badam Milk & Lassi Center,3.6,23
Sri Krishna Sagar,3.2,119
Mylari Biryani Family Restaurant,3.7,73
1980s Games Cafe,3.4,58
Kadala Tarangaa,3.6,129
Namma Biryani,3.6,24
Nandhanu's Rasoi,3.0,175
Hotel Pork Paradise,3.7,21
As On Fire,3.5,41
J K Fish Land,3.6,35
Curry Leaves,4.1,176
Lassi Shop,3.5,45
Magic Meals,3.7,47
Desi Cream Junction,3.7,36
Drunken Monkey,3.8,52
Ruchi's Corner,2.7,123
Tandoori Bytes,3.6,59
