name,rate,votes
Jayanagara Donne Biryani,3.6,60
David's Kitchen,3.5,13
Wow Momo,3.3,12
The Monalisa Restaurant,3.3,4
Udupi Upachar,3.3,13
Kickin Burger,3.1,22
Daily Bread,2.8,53
Desi Dhaba,3.7,34
Food And You,3.8,89
Crave Bite,3.6,19
Calvin's,2.9,231
Hotel Archana Grand,3.5,22
Tasty Khaana Khazana,3.3,6
Sip N Bite,3.3,11
Hotel Aradhana,3.7,51
Chef Master,3.8,75
Adithya,3.2,9
Burger Lounge,3.0,72
Earth Plate Express,3.9,33
Eat Sleep Eat Repeat,3.5,16
Sri Krishna Sagar,3.5,12
Malabar Coastal Cuisine,3.6,68
Chai Chowk,3.8,82
Hotel Paradise,3.3,5
Waikiki,3.2,5
Mini Forest,3.3,6
H3O,3.3,4
Tandoor Hut,2.2,90
Ambur Biryani Hotel,3.2,13
Cafe Choco Craze,3.7,9
Shree Nandini Andhra Mess,3.3,5
Malabar Mint,3.4,39
Juice Buzz,3.1,10
Chakh Le india,3.2,6
Calicut Durbar,3.9,58
Thrupthi Restaurant,3.4,15
Falafel's - The Lebanese Haus,2.9,53
Panchami Garden,3.5,56
Dadaba's,3.3,6
Cafe Bollywood,3.4,25
Shree Udupi Grand,3.8,14
Swad 'E' Punjab,3.6,49
Now Momos,3.4,11
Cool Point,3.2,7
SLV Kabab Centre,3.2,4
Ammi's Biryani,2.7,77
Fahad Hotel,3.3,4
Little Shangai,3.3,4
Uncle's Kitchen,2.8,12
Mysore Carnival Restaurant,3.8,14
Combo King Paramount,3.1,12
Krupa Sagar,3.2,4
Bao and Rolls,3.6,19
Banashankari Donne Biriyani,3.3,4
Egg House,2.9,14
S.W.A.T Food Truck,3.7,21
Loca Moca - The Indian Grub,3.4,4
The Little Kitchen,3.8,27
Shanghai Times,3.2,23
Food Feast Multicusine Restaurant,3.3,16
Prakruthi Restaurant,3.2,4
Cane Recipes,3.5,14
Dry Dock Cafe,3.6,10
Rolls On Wheel,3.0,18
Chowk Tea Stall,3.4,8
Jayanthi Sagar,3.1,21
Biryani Point,3.2,7
Kanha's Kafe,3.5,12
Naga's,2.7,16
FrostBite,3.5,15
Suchi Ruchi Veg & Non Veg Resturant,3.2,4
Hotel Lakshmi Paradise,3.3,7
Jodhpur Jaika,3.3,4
Lets cafe,3.5,6
Shiv Sagar,3.6,10
Desi Bites,3.3,4
Kuttanad,3.6,140
Woodee Pizza,2.7,85
Pappu Da Dhaba,3.0,57
Juicy Momos,3.1,21
The Denny's,3.7,91
Tapri By The Corner,4.1,205
Laa Raiba Restaurant,3.3,7
Kakal-Kai Ruchi,3.8,89
Sri Lakshmi Dhaba,3.0,17
Hotel Smile,3.1,6
Angel Restaurant,2.8,165
Siddique Kabab Centre,3.1,68
Sulaimani Chai,3.8,21
Khan Saheb Grills and Rolls,3.8,62
Fresh Kitchen,3.4,15
Ambara Gardenia,3.8,256
Sri Ganesh Juice Corner,3.0,9
Hotel Khaaja,3.1,69
Biryani Junction,2.3,298
Cafe Mist,3.8,187
Navya's,2.5,47
Gilly's Restobar,4.5,3902
"3B's - Buddies, Bar & Barbecues",4.4,1149
BANGALORE BOX,4.1,624
Pecos Hideout,4.0,165
Invitation Bar & Restaurant,3.0,15
Zanzibar - Davanam Sarovar Portico Suites,3.5,39
Gallop Bar - Davanam Sarovar Portico Suites,3.5,8
Koramangala Social,4.6,4650
XOOX Brewmill,4.4,1533
Bombay Adda,4.5,2225
Deja Vu Resto Bar,4.4,2493
Brooks and Bonds Brewery,4.4,3870
Fenny's Lounge And Kitchen,4.5,6348
Brewsky,4.4,4315
House Of Commons,4.8,4390
Drava,4.4,110
The Terrace at Gilly's Redefined,4.6,866
The Boozy Griffin,4.6,4947
Simon Says Brew Works,4.5,1932
Myu Bar at Gilly's Redefined,4.4,1213
55 Wall Street,3.9,1771
Happy Brew,4.0,2151
Crawl Street,4.3,2563
Harry's Bar + Cafe,4.2,1365
Crumb Together,4.1,587
What's In A Name,4.1,1774
Sathya's,4.1,759
Bottle Breacher,4.2,1192
Tilt Gastro Lounge,4.1,1235
52 Wall Street,3.9,737
Bulls N Bears - Bar Trade Xchange,3.9,144
Watson's,4.0,1014
Sutra Spice-The Resto Bar,3.9,31
Sherlock's Pub,3.9,579
Over The Top Terrace Lounge,3.9,1388
Fandom at Gilly's Redefined,3.8,103
Coconut Grove,3.4,97
Barcode,3.8,169
Daawat Restaurant Bar & Pub,3.5,9
Turquoise,2.8,56
H3O,3.3,4
"3B's - Buddies, Bar & Barbecues",4.4,1154
Fenny's Lounge And Kitchen,4.5,6349
BANGALORE BOX,4.1,625
Pecos Hideout,4.0,165
Invitation Bar & Restaurant,3.0,15
Zanzibar - Davanam Sarovar Portico Suites,3.5,39
Zengi Pub & Restaurant,3.7,32
The Black Pearl,4.7,10422
Gilly's Restobar,4.5,3903
Bombay Adda,4.5,2233
Buff Buffet Buff,4.5,3130
Deja Vu Resto Bar,4.4,2493
Indigo XP,4.3,2349
Fenny's Lounge And Kitchen,4.5,6349
Asia Kitchen By Mainland China,4.9,2184
House Of Commons,4.8,4390
Punjab Bistro,4.4,454
The Boozy Griffin,4.6,4965
Three Dots & A Dash,4.3,1203
Myu Bar at Gilly's Redefined,4.4,1213
55 Wall Street,3.9,1774
Public - The Rooftop Bar And Kitchen,4.3,958
Crawl Street,4.3,2562
Harry's Bar + Cafe,4.2,1365
Beer Adda,4.2,541
Fava Bistro,4.4,383
Crumb Together,4.1,587
Nandhana Palace,4.1,771
What's In A Name,4.1,1774
Sathya's,4.1,759
Bottle Breacher,4.2,1194
Bistro Oui,4.1,400
52 Wall Street,3.9,738
Bulls N Bears - Bar Trade Xchange,3.9,144
Johnny Fox,3.9,66
Watson's,4.0,1015
Sutra Spice-The Resto Bar,3.9,31
JukeBox,3.9,281
Sherlock's Pub,3.9,579
Lounge 189,3.8,157
The Underground Gastropub,3.0,37
Fandom at Gilly's Redefined,3.9,105
Coconut Grove,3.4,97
Barcode,3.8,169
Daawat Restaurant Bar & Pub,3.5,9
A Bar,3.3,19
H3O,3.3,4
Parika Multicuisine Restaurant,3.8,203
Chutney Chang,4.2,4733
Oh! Calcutta,4.4,1112
Mainland China,4.5,1401
Empire Restaurant,4.0,3213
Olive Bar And Kitchen,4.5,2198
Ebony,4.3,3130
JW Kitchen - JW Marriott Bengaluru,4.4,2119
Rim Naam - The Oberoi,4.6,983
The Tao Terraces,4.0,1913
Caraway Kitchen - Conrad Bengaluru,4.3,152
Rasovara,4.3,765
Barbeque Nation,4.4,1065
Cubbon Pavilion - ITC Gardenia,4.3,679
Le Jardin - The Oberoi,4.3,689
BBQ@52,3.7,41
Konark Vegetarian Restaurant,4.1,1007
BBQ'D - Global Grill & Brewery,4.3,458
The Spice Bazaar,4.2,332
The Market - The Ritz-Carlton,4.3,614
WelcomCafe Jacaranda - WelcomHotel Bengaluru,4.0,53
Kitchen On Table,4.0,48
Tiger Trail - Ramada Hotel,4.0,188
Puran da Dhaba - The Pride Hotel,4.0,164
Season - Adarsh Hamilton,4.3,326
Cafe Mangii,4.3,1048
Panchavati Gaurav Thali,4.0,929
Citrus Cafe - Lemon Tree Premier,3.9,183
Ithaca - The Chancery Pavilion,3.9,312
South Parade - The Chancery Hotel,3.1,123
Mint Masala,2.8,252
Northern Gate- Gateway Hotel,3.9,100
Saatvikk,2.8,132
Curry with a 'K' - St. Mark's Hotel,3.9,89
Cafe Treat - The Pride Hotel,4.1,118
Canopy,3.0,108
Cafe @ Elanza,3.7,145
The Oriental Spice - Ashraya Hotel,3.9,158
Pinxx - Royal Orchid Central,3.8,198
Monsoon - The Park Bangalore,4.2,271
The Hub - Ibis Hotel,3.5,29
Nithyothsav - Hotel Ramanashree,3.0,31
Cafe Monarch Luxur,3.8,23
Sunehri,3.8,67
70 Brigade - Iris Hotel,3.9,106
Bazaar- Zone By The Park,3.8,52
VT Sindhur Veg,3.3,13
Monarch,3.6,10
Spice It,3.8,52
Woody's,2.3,116
Mynt - The Taj West End,4.1,339
Skylit - Citrus Hotels,4.0,324
Red Onion,4.2,552
Banjara Melting Pot,4.2,475
Zodiac - Fortune Select JP Cosmos Hotel,3.8,91
One Atria Cafe,3.8,102
Tiffanys,2.9,31
24 Carats - The Capitol,3.1,46
Coastal Creek,3.3,13
BISO - Citrus Hotels,3.9,158
BLOW,4.3,945
Cafe Azzure,4.3,2669
Moto Store & CafÃÂÃÂÃÂÃÂ©,4.2,382
Brik Oven,4.6,2263
The White Room - Coffee & Kitchen,4.0,1706
Matteo Coffea,4.4,2638
Smally's Resto Cafe,4.3,3548
Little Green Cafe,4.3,788
Wolf'ish,4.1,461
Tata Cha,3.9,67
Starbucks,4.1,526
Cafe 22,3.0,11
Green Theory,4.2,2840
CafÃÂÃÂÃÂÃÂ© Felix,4.4,693
Truffles,4.5,3573
Glen's Bakehouse,4.4,1093
Cafe Mozaic - Taj MG Road Bengaluru,4.1,564
Bengaluru Baking Company - JW Marriott Bengaluru,4.3,523
Japan Travel Cafe Azuki,4.3,67
Cafe Kaara,4.2,164
CafÃÂÃÂÃÂÃÂ© Mor'ish,4.1,115
Fabcafe,4.1,55
Skoolroom,4.3,569
Lakeview Milkbar,4.0,1445
Marzipan @ The Bohemian House,4.2,50
Cafe Coffee Day The Square,4.1,388
The Souk,3.7,66
KAARA BY THE LAKE,4.0,47
Trick Or Treat,4.2,618
Cafe Imroze,3.6,95
Happy Belly Bakes,4.2,116
The Blackboard Bakery,3.7,90
The Flying Squirrel,4.0,24
Fatso's,3.8,72
Fresh Pressery Cafe,4.1,104
Urban Solace - CafÃÂÃÂÃÂÃÂ© for the Soul,3.9,462
Soul Cafe,3.9,314
The CafÃÂÃÂÃÂÃÂ© @ Saanchi,4.0,30
WAFL CafÃÂÃÂÃÂÃÂ©,4.0,85
Haji Ali Juice Centre,3.8,22
Yomama!!,3.6,7
Peppa Zzing,4.3,1133
Cafe Cerrise,3.8,96
Gobble Up Churros Cafe,3.8,37
Cafe @ Elanza,3.7,145
Chai Ki Tapri,3.7,16
Cafe Aladdin,3.9,74
CafÃÂÃÂÃÂÃÂ© MH-28,3.4,9
Driven Cafe,3.4,122
Cafe Cassia& Deli,4.2,115
Hashtag Cafe,2.8,44
The Lobby Brew - Conrad Bengaluru,3.8,25
Savera Cafe,3.7,11
Bon Sante,3.6,104
Little Bites,3.6,7
Dasaprakash Cafe,3.1,10
Smokie Brownie,3.2,7
Berrylicious Cafe,4.1,125
The Bao Belly,3.3,9
Norsha Caffe,3.3,6
The Coffee Bean & Tea Leaf,3.8,260
Kalmane Koffees,3.6,46
Hammered,4.7,4677
The Culinarium,4.0,23
Dolci Desserts,4.3,655
Step Right Up,4.1,153
Infinitea Tea Room & Tea Store,4.3,860
Mudpipe Cafe,4.2,740
The Courtyard,3.9,297
Barista,3.7,35
Chels Cafe,3.5,20
BanBay,4.0,44
Bread and Circus,3.7,50
Bangalore Masala House,4.2,255
Talk Ease,3.1,10
Tea and Wine Lounge,3.5,10
Ghar Ki Rasoi,3.1,48
Behrouz Biryani,4.1,128
Eat At Nite,3.1,57
Ovenstory Pizza,3.8,97
Empire Restaurant,4.0,3213
Faasos,3.8,101
Deshi Fusion Pizza,3.3,73
The Charcoal Factory,4.1,291
Karama Restaurant,4.4,2866
Midnight Eats,3.0,114
Masala Central,3.7,75
Firangi Bake,3.9,58
Mama Mia!,4.3,423
Smally's Resto Cafe,4.1,1852
WAFL CafÃÂÃÂÃÂÃÂ©,4.0,85
InnerChef,3.7,270
Frozen Bottle,3.7,19
Dakshin Biryani & Tiffin,3.4,334
99 Pancakes,4.1,41
Midnight Hunger Solutions 24/7,2.1,254
Popat,3.2,41
Church Street Social,4.3,7547
Shanmukha,3.9,143
Domino's Pizza,3.7,266
Roti Shotti,3.8,61
Kanteen 038,4.0,51
Sandhya Veg,3.5,56
The Good Bowl,3.6,10
Burger King,4.0,1393
Imperial Restaurant,3.9,239
eat.fit,4.1,94
Beijing Bites,3.8,262
M.M.A Kababs Rolls & Biryani Center,2.7,67
Dakshin Restaurant,3.6,16
The Mughal's,3.7,89
Donne Biriyani House,4.1,474
Richie Rich,4.0,624
Xpress Biryani,4.3,148
Pathaan Sir,3.3,156
XO Belgian Waffle,4.4,216
Meghana Foods,4.3,2139
Sweet Truth,3.7,21
Ascharya Hotel,3.4,11
Smoke House Deli,4.6,2492
WOW! Momo,3.7,123
Bangalore Bytes,3.5,121
Pathy's Kitchen,3.5,21
Hammered,4.7,4677
Nando's,4.3,1220
Thai Chy,4.3,376
FreshMenu,3.8,377
Danny Lambas Punjabi Dhaba,3.5,98
New Alameen Restaurant,3.4,24
The Bundle Co.,4.4,223
Leon Grill,4.3,285
Belgian Waffle Factory,4.9,1744
Rahhams,3.9,850
Shahi Family Restaurant,3.3,73
Punjabi Dhaba,3.4,352
Tadkawala,3.5,70
Gobble Up Churros Cafe,3.8,37
McDonald's,3.8,106
Meenu Oota Da Maane,3.2,23
KFC,3.6,206
Dunkin' Donuts,4.1,1079
Mandarin Box,4.0,79
Hotel Dil Coorg,3.6,79
Corner House Ice Cream,4.4,635
Little Green Cafe,4.3,788
Shawarma Time,3.7,80
Somilan Steak House,4.3,527
IceBreakers,4.3,182
New Taj,3.3,110
Donne Biryani House,3.3,70
Venus Biryani,3.0,144
Chickpet Donne Biryani House,3.7,45
Soda Bottle Opener Wala,4.4,3656
Cafe Azzure,4.3,2669
Le Gateau - The Cake Shop,4.4,536
Just Bake,3.4,6
Meaza Ginger Multi Cuisine Restaurant,3.6,91
Eden Park,4.1,614
Mel's Korner,3.8,95
Glen's Bakehouse,4.4,1093
Firewood Biryani,3.9,454
Sahana's (Nati Style),3.7,47
Savoury Restaurant,4.1,1445
Kabab Magic,3.9,74
Pasta Street,4.5,1623
Lassi Shop,3.9,32
Mainland China,4.5,1401
Sreeraj Lassi Bar,3.9,61
The Tao Terraces,4.0,1913
MISU,4.6,1217
Toscano,4.4,1842
Pizza Hut,3.8,235
Tata Cha,3.9,67
Krispy Kreme,4.0,47
Amritsari Kulcha Bite,3.9,104
Five Star Chicken,3.5,11
Teppan Japanese Grill & Sushi Bar,4.3,904
YumYumDilli,3.6,51
Wangs Kitchen,2.5,22
Vasudev Adiga's,3.0,53
Indian Chicken Biryani Point,3.3,9
Mudpipe Cafe,4.2,740
Keventers,3.8,54
Caferia,3.3,4
UBQ by Barbeque Nation,3.2,9
Healthie,3.9,189
Coastal Delight,4.1,198
Sweet Chariot,3.8,111
No 10 Fort Cochin,3.8,194
The Open Box,4.2,2272
Bangalore Shadi Biriyani,3.5,57
Tandoor,3.9,1362
Portland Steakhouse & Cafe,4.3,2040
Red Onion,4.2,552
Mad Over Donuts,3.9,148
Thalis Of India,3.4,21
Maravanthe,4.4,686
Hotel Fanoos,4.0,787
Classic Lassi Shop,3.5,43
Feast India Co.,4.2,133
Fujan,3.6,54
Connie's Restaurant & SteakHouse,4.2,176
Mahesh Lunch Home,4.1,860
Hatti Kaapi,3.9,54
Shawarma Inc,3.1,28
Subway,3.3,69
NoLimmits Lounge and Club,4.0,2112
The Only Place,4.2,2924
NH7 Refuel,3.4,19
Peace Restaurant,2.8,109
The Cake City,3.2,4
The Cake House,3.7,29
Ibaco,4.0,289
Shanthi Sagar,4.1,205
Kanti Sweets,3.6,20
Sherlock's Cafe,3.7,40
Oregano Pizzeria,3.5,60
Roll Junction,2.9,56
Drunken Monkey,4.0,122
Kabab Souq,3.6,112
Vietnamese Kitchen,4.1,525
Shalimar,4.0,154
Mangalore pearl - Seafood Restaurant,4.3,1379
Alampur Bar And Restaurant,3.7,42
KC Das,3.9,370
The Biere Club,4.3,3485
Moto Store & CafÃÂÃÂÃÂÃÂ©,4.2,382
Oh! Calcutta,4.4,1112
Halli Mane,3.2,5
Bheema's,4.0,781
Kabab Korner,3.9,205
Northern Route,4.1,159
Kerala Kitchen,3.2,31
Kobe Sizzlers,4.1,1120
Ayda Persian Kitchen,3.9,224
Laughing Llama Gastropub,4.3,394
Kitchen On Table,4.0,48
Hotel Tom's Restaurant,4.4,714
Tewari Bros Mithai Shoppie,3.8,59
Just Shawarma,3.8,110
Vijayalakshmi Veg,3.9,30
ROYCE' Chocolate,3.5,6
Wazir's,3.3,261
Gelato Italiano,2.9,17
Aagaman Veg,4.0,558
The Wok Shop,3.4,7
Chung's Chinese Corner,2.7,283
Hotel Ruchi Priya,3.6,21
Tree Top,3.8,74
Parathe Wali Gali,3.9,36
Fava,4.4,2041
Donne Biryani Hatti,3.6,27
Alibaba Cafe and Restaurant,3.9,450
ThrowBack - Pub & Dine,3.9,234
Vinny's,3.9,205
Chutney Chang,4.2,4733
Retro Lounge Bar,3.8,108
Smoor,4.1,63
Suryawanshi,4.2,447
Chai Point,3.8,148
Zaks Mediterranean Cuisine,3.9,255
Tayabbs,3.0,9
Arya Bhavan Sweets,3.2,9
Infinitea Tea Room & Tea Store,4.3,860
Kenz Karam,3.5,10
Ta'aam,4.1,402
7 Plates,3.9,169
Hoppipola,4.3,1708
Donne Biriyani Mane,3.5,62
Mad Over Biryani,2.9,17
Chilli Chicken,3.1,7
ZOROY Luxury Chocolate,4.0,68
The Belgian Waffle Co.,3.7,73
Panchavati Gaurav Thali,4.0,929
Manjit Da Dhaba,4.3,783
Anupam's Coast II Coast,4.1,853
Happy Fillings,3.4,8
In Wok,3.6,118
Pabrai's Fresh & Naturelle Icecreams,4.2,131
Happy Belly Bakes,4.2,116
Urban Solace - CafÃÂÃÂÃÂÃÂ© for the Soul,3.9,462
Mani's Dum Biryani,4.0,175
Foody's,3.8,169
Bread and Circus,3.7,50
Swathi Deluxe Restaurant,3.0,74
Marzipan Cafe & Bakery,4.2,432
Sri Krishna Sweets,3.8,33
Fullyfilled,4.0,48
The Yogisthaan Cafe,4.2,1207
Desi Inn,3.5,13
Ishta Upahar,3.4,41
Al Swaad Take Away,3.1,13
Karavali Kolimane,3.7,28
Ambur Star Briyani,3.7,17
Nagarjuna,4.3,1772
Hyderabad Biryaani House,4.3,1352
Sunny's,4.1,1330
Truffles,4.5,3573
Millers 46,4.4,2266
Green Onion,4.3,1187
Sakae Japanese Restaurant,4.3,519
Samrat Restaurant,4.1,484
Art of Delight,4.4,1899
Japan Travel Cafe Azuki,4.3,67
Khazana Food Paradise,4.1,358
Cafe Kaara,4.2,164
CAMP TANDOOR,3.7,15
Pashto,4.1,768
Lakeview Milkbar,4.0,1445
Juice Junction,4.0,101
Raidan Restaurant,3.9,169
KAARA BY THE LAKE,4.0,47
Konark Vegetarian Restaurant,3.9,155
Sugarberryz Cakery,3.9,53
Trick Or Treat,4.2,618
Nandhini Deluxe,3.6,196
The Biryani Paradise,3.8,32
Stars 'N' Stripes,2.7,77
Juicemaker,3.8,29
Skyline Family Restaurant,3.4,33
New Prashanth Naati Style,3.8,29
All Saints Bakery,3.6,23
Little Chef,4.0,102
Tibbs Frankie,3.8,24
California Burrito,4.0,53
Aroma Of Asia,3.9,49
Iyengars' Bakery,3.4,14
Rolls On Wheels,3.7,61
Grand Spicy Restaurant,3.6,34
Sidewalk Cafe - Nahar's Heritage Hotel,3.9,136
Haji Ali Juice Centre,3.8,22
Lickity Garden,3.2,4
Yomama!!,3.6,7
Peppa Zzing,4.3,1133
Halli Oota,3.3,6
China Hut,3.8,56
Pop'z Kitchen,3.7,23
Canopy,3.0,108
Cafe @ Elanza,3.7,145
Chai Ki Tapri,3.7,16
Tempura Restaurant,3.9,122
Choi Choi Momos,3.8,29
Chocolate Junction,3.8,29
Ultra Biriyani Paradise,3.3,9
Nithyothsav - Hotel Ramanashree,3.0,31
Hashtag Cafe,2.8,44
Gundappa Donne Biryani,3.7,161
Stir Fry,4.0,209
Shanthi Sagar Deluxe,2.7,52
New Arya Bhavan,3.1,23
Croons,3.8,26
MiniMelts,3.9,66
Aathithya,3.1,16
VT Sindhur Veg,3.3,13
Hotel Green Tara,3.9,40
Nagashree's,2.9,46
Mughals Restaurant,3.2,17
Sri Krishna Foodline,3.3,4
Indy's Comfort Food,4.1,399
Chaithanya Andhra Style Family Restaurant,3.2,4
The Sugar Therapy,3.8,26
Al Sadique Restaurant,3.5,31
Shake N Snack,3.6,18
Feast and Burp,3.3,4
New Kohinoor Hotel,3.2,9
Little Bites,3.6,7
Hatti Punjab Di,3.4,8
RR Catering,3.4,10
Ambur Hot Dum Biryani,3.1,6
Kanis Kitchen,3.6,14
Hit and Run,3.7,15
Le ChÃÂÃÂÃÂÃÂ©ri,3.8,33
Dine In,3.6,8
Spicy Restaurant,3.0,25
Cake of the Day,3.5,19
Kinara Tiffany,3.6,15
Painted Platters,3.9,38
Bhaiya Ji Food Court,3.0,16
Little Paramount Restaurants,3.6,32
Goli Vada Pav NO.1,3.4,7
Baskin Robbins,3.1,17
Natural Ice Cream,4.2,220
The Bao Belly,3.3,9
Zaiqa,3.4,8
Rescafe,3.8,41
Bhaiyaji Food Court,3.4,27
Tandoor Da Funda,3.6,15
Shiv Sager,3.0,10
Coastal Creek,3.3,13
Batter Splatter,3.3,5
Malabar Kitchen,3.2,5
Casa Express,2.6,26
Pappu Chaiwalla,3.3,33
Kamat's Palate Korner,4.1,121
Petoo,3.7,32
Kulfi Point,3.4,5
Khan Saheb Grills and Rolls,3.9,185
Cafe Mangii,4.3,1048
Fabcafe,4.1,55
Cafe Coffee Day,2.9,55
New Prashanth Hotel,3.7,50
Amande Patisserie,4.2,231
Delices,3.1,6
Kolkatta Famous Chat,3.7,23
Rawal Jalebi,3.5,9
Home Treat,3.1,7
Gowdru Hotel,3.9,200
Rotti Mane,3.6,21
3 Spice,3.9,157
Tea Journey,3.8,71
Ooty Chocolates,3.5,17
Sri Udupi Park,3.8,106
Nawab's Kolkatta Roll,3.4,4
Sunny Side Bistro,3.8,362
BOX8- Desi Meals,4.3,291
Carnival de Goa,4.2,982
INDULGE by InnerChef,3.5,27
Kumbakonam Degree Coffee,3.8,66
The Brekkie Shop,3.5,64
Ramana's,4.0,378
Bon Sante,3.6,104
EatWater,4.2,121
Kadamba Foodline,3.7,30
Mamma Mexicana,2.2,406
CafÃÂÃÂÃÂÃÂ© MH-28,3.4,9
The Konkan - Seafood Restaurant,4.4,218
Utse Kitchen,4.2,174
Chung Wah,3.9,194
The Souk,3.7,66
The Coffee Bean & Tea Leaf,3.8,260
20 Feet High,4.0,933
Chetty's Coffee,3.7,18
Indira Darshini,3.6,27
Kenny's Restaurant,3.6,31
Funjabi,3.5,140
Kamat Restaurant,3.6,31
Hotel Ramprasad,4.2,93
Chung Wah Express,2.8,94
Ganesh Food Joint,3.7,30
Sri Ayodhya Veg,3.6,24
Kabab Nation Corner,3.5,75
Platter,2.9,25
Mummy Dhaba,3.2,46
A2B - Adyar Ananda Bhavan,2.9,22
Atty's Bakery,4.0,73
Tasty King,3.4,8
Ramji Chaiwale,3.7,43
L'inoui,4.1,33
YumYumSouth,3.5,38
Anna Kuteera,3.8,62
Hotel Nisarga Grand,3.6,31
Shree Sadguru Refreshment,3.2,4
Oye Amritsar,4.1,452
Shan Restaurant,3.0,20
Haldiram's Express,3.6,44
Hotel Fine,3.5,24
Red Lantern,3.7,161
Kaulige Millet Corner,4.0,32
Norsha Caffe,3.3,6
Chantilly,4.1,115
Baahubelly,3.7,68
Thai House,4.2,127
Qissa Khawani,4.4,319
Lazio Steaks & More,3.9,119
Naachiyar's,3.9,117
Hatti Punjab Di,2.8,20
Venkateshwara Foods,3.0,13
SGS Non Veg - Gundu Pulav,3.9,55
Smokie Brownie,3.2,7
Foreign CafÃÂÃÂÃÂÃÂ©,3.1,54
Yauatcha PÃÂÃÂÃÂÃÂ¢tisserie,3.9,53
Eatato Snack Bar,3.3,11
The Bong,3.1,38
World In A Bowl,2.8,34
Magic Box,3.3,21
Classic Shop,3.3,6
Paratha Xpress,3.5,7
Hotel Rangoon,3.7,17
Quench & Crunch,3.6,21
Jars,3.8,28
The Milkshake Theory,3.2,40
Berrylicious Cafe,4.1,125
Bhavani Sri,3.0,110
Fatso's,3.8,72
Masala Oota,3.6,79
Lazeez Xpress,3.4,11
Roll Er Dokaan,3.2,18
Siridhanya Upahara Darshini,3.4,5
Little White Kitchen,3.8,20
The Jungle Terrace,3.5,13
Bubbles,3.7,21
Oh My Chaat,3.1,18
Caffe Maven,3.4,25
Fruit Face,3.6,21
Penta Cafe,3.5,12
Chels Cafe,3.5,20
Xian,3.8,81
Delicacy,3.9,306
Kaati Zone,3.1,163
Benjarong,4.2,858
Tiger Trail - Ramada Hotel,4.0,188
Shyvan Restaurant,3.6,82
The French Loaf,2.8,142
Ujwal Restaurant,3.9,134
Cafe Idly,3.7,81
Raaga,3.8,298
The Grill House,4.1,765
The Oriental Spice - Ashraya Hotel,3.9,158
Pinxx - Royal Orchid Central,3.8,198
Shezan,4.1,391
Woodstok,4.1,1053
Siddique Kabab Centre,3.9,430
Parika Multicuisine Restaurant,3.8,203
Cookie Man,3.4,36
Aromas Of South,3.7,46
Pizza Stop,3.5,73
Hotel Chandrika,3.8,207
Crescent Avenue - Hotel Bangalore International,3.6,41
Fat Buddha,4.0,456
Sagar Delicacy,3.9,87
Kudla - Hotel Ramanashree,4.1,354
Akshaya Sambrama Veg Restaurant,3.2,13
South Inn,3.1,24
Chowmein,4.0,279
Srinidhi Sagar Food Line,3.7,129
Curries And Pickles,3.8,77
Munchies,3.9,65
Charminar Kabab Paradise,4.0,104
Deccan Spices,3.7,23
Ambur Hot Dum Biryani,3.2,6
Chichaba's Taj,3.9,443
Pai Vihar,2.8,56
Juice Shop,3.3,11
Pind Balluchi,4.0,1022
The Chariot,2.9,50
Cafe Cerrise,3.8,96
Allana Kabab,3.3,4
Mount View Fast Food,3.3,4
Pooja Veg,3.1,9
Sangam Sweets,3.1,26
Banjara Melting Pot,4.2,475
Sri Rama,3.2,4
Chaitanya Veg,3.2,5
Taj Hotel,3.7,110
Cool Corner Arun Ice Cream,3.5,8
Shaadi Ki Biryani,2.8,296
Bangalore Mandarin,4.2,974
Chung Shan Chinese Restaurant,3.7,32
Arina's,3.3,5
Daily Bite,3.5,14
Foodhall,4.0,113
Kartik's Mithai Shoppe,4.1,110
Desi Vdesi,3.9,202
Taipan,3.5,126
UBCR,3.3,5
The Adukkala Restaurant,3.6,41
The Good Grain,4.1,54
Debby's Kitchen,3.6,16
New Kudla Family Resturant,3.2,4
Brownie Heaven,4.2,34
Gelato Italiano,3.2,4
Bhandary's Kitchen,3.6,16
Durga Sagar,3.3,8
Marathi Biriyani House,3.3,6
Kareem's,3.6,32
The Wok Shop,3.4,7
Durga Sagar,3.3,8
Happy Fillings,3.4,8
Marathi Biriyani House,3.3,6
Meenu Oota Da Maane,3.2,23
Kareem's,3.6,32
Masale Daan,3.2,5
Corner House Ice Cream,4.4,635
Kenz Karam,3.5,10
Tea Break Lounge,3.3,5
Indian Spice Food,3.7,24
KKR FOODIES,3.1,59
Ta'aam,4.1,402
Sheesh Kebab,4.1,68
Kadai Crust - Amma Veetu Samayal,3.8,263
ASEAN - On The Edge,4.4,864
Dolci Desserts,4.3,655
Snack House,3.8,23
RockSalt,4.4,488
Ideal Kitchen,3.5,26
Ente Keralam,4.0,1098
Nossa Goa,4.1,297
Bangalore Masala House,4.2,255
Taco Bell,3.8,33
Homemade Food,3.8,24
Laughing Llama Gastropub,4.3,394
The Bundle Co.,4.4,223
Kabab Souq,3.6,112
GMT - Gelateria Montecatini Terme,4.4,68
Vietnamese Kitchen,4.1,525
Step Right Up,4.1,153
Cafe Treat - The Pride Hotel,4.1,118
The Yogisthaan Cafe,4.2,1207
Cafe Imroze,3.6,95
The Egg Factory,4.2,1765
Moto Store & CafÃÂÃÂÃÂÃÂ©,4.2,382
Hoppipola,4.3,1708
Green Theory,4.2,2840
The Grand Taj,3.2,35
